company,category,posts,followers,following,global_traffic_rank,monthly_rank_growth,visit_duration,visit_duration_growth,page_views_visit,page_views_visit_growth,bounce_rate,bounce_rate_growth,it_spend,software_spend,communications_spend,service_spend,other_hardware_spend,other_it_spend,country_1,share_of_monthly_visits_c1,monthly_visits_growth_c1,sites_rank_in_country_c1,monthly_rank_growth_c1,country_2,share_of_monthly_visits_c2,monthly_visits_growth_c2,sites_rank_in_country_c2,monthly_rank_growth_c2,country_3,share_of_monthly_visits_c3,monthly_visits_growth_c3,sites_rank_in_country_c3,monthly_rank_growth_c3,country_4,share_of_monthly_visits_c4,monthly_visits_growth_c4,sites_rank_in_country_c4,monthly_rank_growth_c4,country_5,share_of_monthly_visits_c5,monthly_visits_growth_c5,sites_rank_in_country_c5,monthly_rank_growth_c5,
orchestral tools,a,635.00,21.80,176.00,386422.00,-0.15,472.00,0.34,2.62,-0.23,0.74,0.42,0.16,0.05,0.02,0.043.1,0.01,27.60,united states,0.59,5.41,133196.00,-0.71,uganda,0.05,,6368.00,,hungary,0.05,20.73,50782.00,-0.71,japan,0.05,0.13,218033.00,-0.13,germany,0.04,2.81,287840.00,-0.41,
native instruments,a,3236.00,890.00,895.00,224.88,-0.04,477.00,0.08,3.33,0.04,0.55,0.04,1.20,0.22,0.15,0.45,0.15,283.60,united states,0.30,0.45,13668.00,-0.28,japan,0.09,0.36,10012.00,-0.28,united kingdom,0.06,-0.30,11374.00,0.36,germany,0.05,-0.22,12351.00,0.24,france,0.05,-0.06,9612.00,0.04,
ableton,b,672.00,647.00,1376.00,28198.00,-0.01,445.00,0.04,3.04,-0.04,0.54,0.00,9.40,1.60,1.40,3.20,1.10,2.10,united states,0.33,0.10,15313.00,-0.10,japan,0.07,1.23,15384.00,-0.51,united kingdom,0.06,0.01,14680.00,-0.02,germany,0.05,-0.33,15788.00,0.43,france,0.04,0.17,15604.00,-0.15,
waves,a,1830.00,540.00,986.00,49517.00,-0.06,442.00,-0.09,3.53,0.11,0.50,-12.22,,,,,,,united states,0.33,0.13,26871.00,-0.11,india,0.08,5.35,27393.00,-0.75,russia,0.04,0.68,27025.00,-0.43,united kingdom,0.04,-0.39,37388.00,0.49,japan,0.03,1.12,47234.00,0.51,
universal audio,a,3220.00,621.00,859.00,48743.00,-0.74,437.00,0.20,3.97,0.20,0.54,,3.60,0.93,0.53,1.10,0.20,0.82,united states,0.36,-0.15,24264.00,0.12,united kingdom,0.10,0.69,14933.00,-0.36,germany,0.04,0.27,35242.00,-0.19,armenia,0.04,158.46,817.00,-0.98,canada,0.03,0.32,28430.00,-0.18,
suno,c,84.00,19.70,0.00,818.00,-0.19,667.00,-0.01,3.49,-0.07,0.47,0.03,,,,,,,united states,0.21,0.84,849.00,-0.49,russian federation,0.07,0.50,37400.00,-0.42,brazil,0.06,0.34,574.00,-0.22,germany,0.05,0.22,624.00,-0.17,spain,0.04,-0.25,452.00,0.31,
sound particles,a,954.00,3823.00,0.00,1715425.00,-0.22,777.00,3.74,4.18,1.98,0.65,-0.11,,,,,,,russia,0.31,,188181.00,,united states,0.15,-0.10,1094559.00,0.15,bulgaria,0.11,13.71,44760.00,-0.72,china,0.09,,203324.00,,japan,0.08,,428613.00,,
arturia,a,1254.00,380.00,917.00,60473.00,-0.04,373.00,-0.21,2.87,-0.11,0.53,0.00,3.70,0.96,0.49,1.10,0.33,0.77,united states,0.28,0.15,36527.00,-0.12,united kingdom,0.11,0.45,17775.00,-0.27,spain,0.05,3.11,20405.00,-0.69,russia,0.05,-0.23,30533.00,0.09,france,0.05,-0.18,27833.00,0.15,
good hertz,a,136.00,10.20,257.00,1514239.00,0.06,256.00,-0.49,3.20,-0.53,0.37,-0.20,,,,,,,united states,0.53,-0.13,459621.00,0.03,germany,0.09,0.83,388602.00,-0.24,indonesia,0.04,2.30,195530.00,-0.45,cambodia,0.04,,23378.00,,brazil,0.03,0.10,426855.00,-0.09,
endel,b,402.00,179.00,359.00,187728.00,-0.39,254.00,0.64,2.55,0.29,0.40,-0.40,0.39,0.05,0.05,0.11,0.04,0.07,australia,0.63,111.12,5615.00,-0.97,united states,0.09,0.70,349102.00,-0.14,japan,0.04,-0.58,141617.00,0.74,mexico,0.04,14.01,55732.00,-0.70,venezuela,0.02,,23430.00,,
akai,b,2768.00,380.00,416.00,129701.00,-0.09,348.00,-0.02,2.73,-0.12,0.54,0.20,0.11,0.03,0.02,0.03,0.09,0.02,united states,0.48,0.92,50733.00,0.00,united kingdom,0.07,-0.44,53468.00,0.59,germany,0.06,-0.04,63221.00,0.01,brazil,0.04,3.31,80908.00,-0.51,poland,0.03,0.95,44276.00,-0.44,
teenage engineering,b,343.00,468.00,725.00,137396.00,0.08,453.00,0.83,2.50,-0.15,0.47,-0.05,0.28,0.07,0.02,0.12,0.02,0.05,united states,0.29,-0.17,81999.00,0.14,united kingdom,0.23,0.82,22415.00,-0.39,japan,0.08,2.39,65866.00,-0.65,taiwan,0.05,18.43,22176.00,-0.84,germany,0.04,0.16,91942.00,-0.10,
nothing,c,276.00,1100.00,0.00,19735.00,0.17,228.00,-0.29,2.81,-0.04,0.45,-0.05,3.70,0.55,0.37,1.60,0.45,0.76,india,0.20,-0.43,5899.00,0.40,united states,0.15,0.10,21453.00,-0.10,japan,0.09,0.00,9042.00,-0.06,germany,0.05,-0.62,10634.00,1.47,united kingdom,0.05,-0.21,10849.00,0.22,
tracklib,b,988.00,1000.00,0.00,140898.00,0.66,380.00,-0.26,4.14,0.46,0.52,-0.24,,,,,,,united states,0.60,-0.55,46377.00,0.87,south korea,0.04,0.49,58494.00,-0.13,russia,0.04,13.26,80769.00,-827.31,peru,0.03,64.94,19347.00,-0.91,france,0.03,0.10,87097.00,-0.08,
landr,b,600.00,77.90,3554.00,26625.00,-0.09,477.00,0.13,3.89,0.22,0.58,-0.04,0.27,0.09,0.04,0.07,0.02,0.05,italy,0.18,0.15,3600.00,-0.13,united states,0.17,-0.24,28726.00,0.22,argentina,0.11,4.53,2337.00,-0.77,brazil,0.08,0.64,13036.00,-0.28,united kingdom,0.05,0.19,18270.00,-0.14,
aimi,b,148.00,7391.00,143.00,6278871.00,0.63,24.00,-0.08,1.36,0.07,0.88,0.08,0.91,0.15,0.28,0.30,0.04,0.15,serbia,0.20,,117320.00,,united states,0.15,-0.90,3384095.00,1.78,hungary,0.14,,210721.00,,france,0.14,,779339.00,,czech,0.11,0.26,228885.00,-0.08,
soundcloud,c,3980.00,1000.00,1314.00,280.00,0.05,628.00,-0.02,3.17,0.01,0.61,0.00,,,,,,,united states,0.24,-0.04,295.00,0.00,germany,0.05,-0.11,235.00,0.14,united kingdom,0.05,0.01,249.00,0.01,brazil,0.04,0.09,423.00,0.00,france,0.03,-0.04,327.00,0.04,
chillhop,b,1728.00,236.00,1044.00,264846.00,-0.60,542.00,0.46,2.55,-0.01,0.62,-0.04,,,,,,,united states,0.47,2.20,108135.00,-0.61,malaysia,0.09,254.88,24962.00,-0.91,france,0.07,46.43,89156.00,-0.88,germany,0.04,1.46,193531.00,-0.42,germany,0.04,1.46,193531.00,-0.42,
musiversal,c,605.00,27.60,1320.00,308387.00,-0.28,517.00,1.38,2.96,0.58,0.57,-0.31,,,,,,,united states,0.98,0.47,70330.00,-0.29,south korea,0.01,,148996.00,,france,0.01,,436565.00,,canada,0.01,,402188.00,,germany,0.00,,959705.00,,
bandcamp,c,4401.00,234.00,569.00,1204.00,0.07,492.00,-0.03,2.99,-0.06,0.58,0.01,,,,,,,united states,0.39,-0.03,619.00,0.02,united kingdom,0.07,-0.02,634.00,0.01,germany,0.06,-0.16,759.00,0.20,canada,0.04,0.09,672.00,-0.03,france,0.04,-0.15,860.00,0.19,
spitfire audio,a,3337.00,147.00,1776.00,106177.00,0.19,413.00,0.05,4.27,0.10,0.38,-0.14,0.65,0.09,0.08,0.27,0.08,0.13,united states,0.32,0.56,57495.00,-0.31,united kingdom,0.10,0.05,33920.00,-0.04,germany,0.07,-0.02,47646.00,0.70,australia,0.04,-0.02,32973.00,-0.64,france,0.03,-0.27,69624.00,0.27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,7,4,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.476190476,0.333333333,0.19047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,